2020,4,15,15.4,28.4,1.26,1.53,0,8.4,7,1.4,1.3,338,29,2.9,.28,.49,-2.9
2020,4,16,17,21.3,1.52,1.04,0,9,7,.5,.4,186,34,1.8,.17,.41,-5.3
2020,4,17,16.2,25.3,1.38,.53,0,9.1,7,1.2,1.1,215,18,2.2,.07,.46,-3.7
2020,4,18,12.8,38.7,.92,.06,0,8.7,7.1,.4,.4,229,16,1.2,.02,.56,-1.1
2020,4,19,7.3,58.4,.43,0,0,8,7.1,1.2,1.2,62,10,1.7,0,.59,-.4
2020,4,20,5.3,67.3,.29,0,0,7.4,7.2,1.5,1.5,75,10,2,0,.6,-.3
2020,4,21,3.3,77.5,.17,0,0,6.9,7.2,1.9,1.8,113,20,3.3,-.01,.6,-.3
2020,4,22,2.5,76.5,.17,0,0,6.4,7.3,1.4,1.2,103,33,2.5,-.01,.56,-1.2
2020,4,23,.2,85.7,.09,0,0,6,7.4,.5,.2,88,66,1.4,-.02,.53,-1.9
2020,4,24,.3,84.9,.09,0,0,5.6,7.4,.7,.6,160,33,1.6,-.02,.53,-1.9
2020,5,1,-.8,88.8,.06,0,0,5.2,7.5,.9,.7,103,35,1.9,-.02,.51,-2.5
2020,5,2,-.5,85.7,.08,0,0,4.8,7.5,1.1,1,54,23,1.9,-.02,.5,-2.6
2020,5,3,-1.1,86.7,.08,0,0,4.5,7.5,.9,.8,132,28,1.6,-.02,.49,-3
2020,5,4,-1.9,89,.06,0,0,4.2,7.5,.9,.8,88,25,1.5,-.02,.47,-3.5
2020,5,5,-2.5,90.4,.05,0,0,3.9,7.5,1,.9,68,28,1.6,-.02,.46,-3.8
2020,5,6,-2.8,90.3,.05,0,0,3.7,7.5,.8,.7,113,27,1.5,-.02,.45,-4.1
2020,5,7,-3.2,91.3,.04,0,0,3.4,7.5,.8,.7,28,25,1.5,-.02,.44,-4.4
2020,5,8,-2.1,90.2,.05,.16,0,3.2,7.5,.9,.7,19,32,1.9,0,.47,-3.5
2020,5,9,2.4,78.7,.16,.76,0,3.1,7.4,.7,.6,108,26,1.7,.06,.57,-1
2020,5,10,4.7,72.1,.24,1.3,0,3.3,7.4,1.6,1.5,322,22,2.8,.16,.61,.1
2020,5,11,6.6,62.6,.37,1.79,0,4.1,7.4,1.6,1.5,277,19,3.6,.25,.61,-.1
2020,5,12,10.6,44.5,.71,2.1,0,5.3,7.3,1.4,1.3,308,26,2.7,.35,.57,-1
2020,5,13,14.4,32.7,1.11,2.19,0,6.7,7.3,1.3,1.1,307,34,2.7,.4,.54,-1.8
2020,5,14,17.2,25.1,1.48,2.06,0,8.1,7.2,.7,.4,294,51,2.3,.39,.49,-2.9
2020,5,15,18.5,24,1.62,1.71,0,9.2,7.2,1,.7,232,45,2.4,.33,.51,-2.4
